industry,city,investment_type,founded_year,no_of_founders,amount_in_inr,city_tier,market_size_category
AI,Delhi,Pre-Seed,2022,4,1198880,Tier-1,Large
Logistics,Noida,Pre-Seed,2019,1,1175390,Tier-2,Medium
HealthTech,Mumbai,Series B,2021,4,180171010,Tier-1,Medium
FinTech,Chennai,Pre-Seed,2014,1,1189804,Tier-2,Large
HealthTech,Noida,Pre-Seed,2010,4,811434,Tier-2,Medium
E-commerce,Delhi,Series A,2021,5,38524092,Tier-1,Large
HealthTech,Mumbai,Series B,2010,3,176223115,Tier-1,Medium
AI,Bangalore,Series B,2014,2,188008145,Tier-1,Large
HealthTech,Bangalore,Series C,2021,4,259922848,Tier-1,Medium
E-commerce,Pune,Series A,2014,4,15226536,Tier-2,Large
E-commerce,Noida,Seed,2017,1,8374147,Tier-2,Large
E-commerce,Pune,Series B,2011,3,113205079,Tier-2,Large
AI,Pune,Seed,2016,5,7013731,Tier-2,Large
E-commerce,Mumbai,Seed,2014,5,3467822,Tier-1,Large
FinTech,Bangalore,Seed,2023,3,5473069,Tier-1,Large
AgriTech,Pune,Series B,2011,5,199534827,Tier-2,Small
E-commerce,Hyderabad,Series B,2014,2,80598024,Tier-2,Large
HealthTech,Pune,Seed,2021,5,5334500,Tier-2,Medium
SaaS,Bangalore,Seed,2018,2,4962258,Tier-1,Large
HealthTech,Hyderabad,Series B,2021,4,143283193,Tier-2,Medium
SaaS,Mumbai,Pre-Seed,2022,5,607845,Tier-1,Large
HealthTech,Noida,Series A,2023,5,14105785,Tier-2,Medium
AI,Noida,Seed,2014,2,9395413,Tier-2,Large
HealthTech,Hyderabad,Seed,2014,4,7925717,Tier-2,Medium
AI,Bangalore,Seed,2020,4,5918245,Tier-1,Large
AI,Delhi,Seed,2011,1,9396906,Tier-1,Large
E-commerce,Hyderabad,Series A,2018,4,48824642,Tier-2,Large
FinTech,Bangalore,Series B,2011,3,150656024,Tier-1,Large
SaaS,Pune,Seed,2022,1,3313485,Tier-2,Large
E-commerce,Delhi,Series B,2014,4,111914116,Tier-1,Large
E-commerce,Mumbai,Series A,2011,2,18543249,Tier-1,Large
AgriTech,Noida,Seed,2011,3,2225691,Tier-2,Small
AI,Mumbai,Series A,2015,1,31593443,Tier-1,Large
AI,Chennai,Series A,2019,5,27691461,Tier-2,Large
SaaS,Mumbai,Pre-Seed,2012,2,1836798,Tier-1,Large
HealthTech,Chennai,Seed,2019,3,9302262,Tier-2,Medium
HealthTech,Mumbai,Series C,2022,2,370934680,Tier-1,Medium
Logistics,Mumbai,Series A,2018,1,17298292,Tier-1,Medium
E-commerce,Mumbai,Seed,2021,3,5354491,Tier-1,Large
Logistics,Chennai,Seed,2015,1,3600199,Tier-2,Medium
EdTech,Pune,Pre-Seed,2019,1,1195131,Tier-2,Small
EdTech,Chennai,Seed,2019,4,4716230,Tier-2,Small
Logistics,Hyderabad,Pre-Seed,2011,2,1582174,Tier-2,Medium
HealthTech,Bangalore,Pre-Seed,2023,4,1947521,Tier-1,Medium
EdTech,Bangalore,Seed,2010,4,2869016,Tier-1,Small
AgriTech,Pune,Series A,2011,2,49497920,Tier-2,Small
HealthTech,Bangalore,Pre-Seed,2019,3,940426,Tier-1,Medium
AI,Mumbai,Pre-Seed,2015,2,1194081,Tier-1,Large
E-commerce,Pune,Pre-Seed,2011,5,767966,Tier-2,Large
FinTech,Bangalore,Seed,2016,3,5049131,Tier-1,Large
E-commerce,Chennai,Pre-Seed,2016,4,1264213,Tier-2,Large
Logistics,Hyderabad,Seed,2010,1,3077401,Tier-2,Medium
HealthTech,Delhi,Seed,2021,1,2695093,Tier-1,Medium
Logistics,Hyderabad,Seed,2023,4,7670485,Tier-2,Medium
AgriTech,Bangalore,Series B,2015,3,166507754,Tier-1,Small
HealthTech,Pune,Seed,2014,5,4733470,Tier-2,Medium
E-commerce,Noida,Pre-Seed,2017,3,1701120,Tier-2,Large
AgriTech,Bangalore,Seed,2017,2,6057237,Tier-1,Small
AgriTech,Chennai,Series C,2018,5,654444879,Tier-2,Small
AgriTech,Hyderabad,Series C,2011,2,483003927,Tier-2,Small
SaaS,Noida,Seed,2020,3,9293906,Tier-2,Large
HealthTech,Chennai,Pre-Seed,2010,4,1570458,Tier-2,Medium
EdTech,Chennai,Seed,2019,4,2103541,Tier-2,Small
EdTech,Delhi,Seed,2015,2,3743128,Tier-1,Small
HealthTech,Chennai,Seed,2011,5,2025646,Tier-2,Medium
HealthTech,Noida,Seed,2014,2,2107375,Tier-2,Medium
SaaS,Chennai,Pre-Seed,2010,5,1231491,Tier-2,Large
EdTech,Delhi,Pre-Seed,2010,1,1847137,Tier-1,Small
HealthTech,Mumbai,Series A,2023,3,41533164,Tier-1,Medium
HealthTech,Noida,Series B,2014,4,103009370,Tier-2,Medium
Logistics,Mumbai,Pre-Seed,2015,4,1299465,Tier-1,Medium
SaaS,Noida,Series A,2020,5,27744519,Tier-2,Large
SaaS,Pune,Seed,2016,1,8802877,Tier-2,Large
E-commerce,Delhi,Seed,2020,4,9156477,Tier-1,Large
SaaS,Pune,Series B,2013,2,135886778,Tier-2,Large
FinTech,Pune,Seed,2013,2,7820485,Tier-2,Large
EdTech,Chennai,Series A,2014,4,11427207,Tier-2,Small
E-commerce,Pune,Seed,2015,5,7473583,Tier-2,Large
FinTech,Bangalore,Pre-Seed,2017,3,616553,Tier-1,Large
HealthTech,Noida,Series A,2018,1,16395964,Tier-2,Medium
Logistics,Hyderabad,Seed,2016,3,5284276,Tier-2,Medium
Logistics,Bangalore,Pre-Seed,2019,1,888297,Tier-1,Medium
HealthTech,Bangalore,Series A,2012,4,28785261,Tier-1,Medium
E-commerce,Chennai,Pre-Seed,2015,5,1679455,Tier-2,Large
SaaS,Hyderabad,Pre-Seed,2018,2,577967,Tier-2,Large
AgriTech,Pune,Series A,2015,2,24559512,Tier-2,Small
Logistics,Hyderabad,Pre-Seed,2021,2,1266414,Tier-2,Medium
AgriTech,Pune,Series A,2020,5,49945677,Tier-2,Small
HealthTech,Mumbai,Series B,2019,3,66075451,Tier-1,Medium
AgriTech,Delhi,Pre-Seed,2017,4,1444227,Tier-1,Small
AI,Chennai,Seed,2023,5,8746872,Tier-2,Large
E-commerce,Pune,Series A,2017,4,38507736,Tier-2,Large
FinTech,Pune,Seed,2013,4,2787955,Tier-2,Large
E-commerce,Hyderabad,Series A,2016,3,14078719,Tier-2,Large
EdTech,Chennai,Seed,2016,2,8695663,Tier-2,Small
SaaS,Noida,Pre-Seed,2016,1,1691236,Tier-2,Large
SaaS,Pune,Pre-Seed,2017,5,1713117,Tier-2,Large
E-commerce,Mumbai,Series A,2011,5,36047357,Tier-1,Large
HealthTech,Bangalore,Pre-Seed,2021,5,911089,Tier-1,Medium
HealthTech,Pune,Series B,2011,4,154610259,Tier-2,Medium
AI,Hyderabad,Series A,2015,3,32425114,Tier-2,Large
AI,Noida,Pre-Seed,2020,5,1988043,Tier-2,Large
SaaS,Mumbai,Pre-Seed,2015,4,1328496,Tier-1,Large
AI,Chennai,Seed,2014,3,6118590,Tier-2,Large
Logistics,Pune,Series A,2011,1,21727457,Tier-2,Medium
Logistics,Mumbai,Series B,2017,3,155661643,Tier-1,Medium
FinTech,Mumbai,Pre-Seed,2012,2,1373218,Tier-1,Large
AI,Noida,Pre-Seed,2010,1,1186221,Tier-2,Large
FinTech,Mumbai,Seed,2010,1,7283500,Tier-1,Large
AI,Mumbai,Pre-Seed,2021,1,1552110,Tier-1,Large
SaaS,Noida,Seed,2016,4,8637478,Tier-2,Large
SaaS,Noida,Seed,2016,1,9985986,Tier-2,Large
FinTech,Noida,Seed,2015,4,3313175,Tier-2,Large
E-commerce,Mumbai,Seed,2015,2,6543933,Tier-1,Large
SaaS,Mumbai,Seed,2014,1,3918721,Tier-1,Large
E-commerce,Delhi,Seed,2021,5,3366212,Tier-1,Large
HealthTech,Chennai,Seed,2015,4,6160707,Tier-2,Medium
Logistics,Bangalore,Seed,2023,4,8338403,Tier-1,Medium
FinTech,Chennai,Seed,2011,3,7931393,Tier-2,Large
AgriTech,Hyderabad,Pre-Seed,2014,1,1074781,Tier-2,Small
SaaS,Hyderabad,Pre-Seed,2011,1,1287978,Tier-2,Large
EdTech,Noida,Pre-Seed,2023,3,726192,Tier-2,Small
HealthTech,Chennai,Pre-Seed,2012,4,1897748,Tier-2,Medium
E-commerce,Mumbai,Seed,2014,4,4393938,Tier-1,Large
SaaS,Delhi,Pre-Seed,2010,3,1906540,Tier-1,Large
FinTech,Bangalore,Seed,2020,2,4681554,Tier-1,Large
AgriTech,Pune,Seed,2012,4,8198611,Tier-2,Small
AI,Pune,Seed,2019,1,7042708,Tier-2,Large
AgriTech,Mumbai,Series A,2021,2,31203767,Tier-1,Small
EdTech,Chennai,Seed,2015,5,4575902,Tier-2,Small
E-commerce,Pune,Pre-Seed,2011,3,770148,Tier-2,Large
HealthTech,Chennai,Pre-Seed,2012,4,1698759,Tier-2,Medium
AgriTech,Delhi,Pre-Seed,2022,4,693537,Tier-1,Small
FinTech,Delhi,Seed,2018,3,9188746,Tier-1,Large
EdTech,Noida,Pre-Seed,2017,4,1132499,Tier-2,Small
FinTech,Chennai,Seed,2012,4,7912087,Tier-2,Large
SaaS,Noida,Series B,2016,1,192661295,Tier-2,Large
AI,Mumbai,Pre-Seed,2021,1,1178205,Tier-1,Large
HealthTech,Noida,Series B,2023,4,64650718,Tier-2,Medium
FinTech,Mumbai,Series B,2013,4,70526026,Tier-1,Large
E-commerce,Mumbai,Series B,2023,4,59198455,Tier-1,Large
SaaS,Pune,Series B,2023,4,72049206,Tier-2,Large
SaaS,Bangalore,Pre-Seed,2016,2,1368723,Tier-1,Large
HealthTech,Bangalore,Pre-Seed,2014,1,986877,Tier-1,Medium
SaaS,Mumbai,Pre-Seed,2021,4,1666995,Tier-1,Large
E-commerce,Chennai,Pre-Seed,2022,4,1667737,Tier-2,Large
FinTech,Delhi,Seed,2021,1,7048895,Tier-1,Large
HealthTech,Noida,Series B,2011,5,167782867,Tier-2,Medium
Logistics,Hyderabad,Seed,2015,4,4937453,Tier-2,Medium
SaaS,Delhi,Pre-Seed,2010,3,838762,Tier-1,Large
SaaS,Delhi,Series A,2015,2,28400458,Tier-1,Large
E-commerce,Hyderabad,Pre-Seed,2010,5,1978554,Tier-2,Large
AI,Mumbai,Seed,2012,5,2168069,Tier-1,Large
AI,Delhi,Seed,2020,1,4861083,Tier-1,Large
AgriTech,Hyderabad,Series B,2019,2,196034956,Tier-2,Small
SaaS,Noida,Seed,2016,3,4991980,Tier-2,Large
Logistics,Pune,Series A,2023,2,33649406,Tier-2,Medium
FinTech,Chennai,Pre-Seed,2011,5,719530,Tier-2,Large
HealthTech,Chennai,Series B,2018,5,120830838,Tier-2,Medium
SaaS,Chennai,Seed,2012,2,8115540,Tier-2,Large
EdTech,Mumbai,Series A,2012,1,30694566,Tier-1,Small
HealthTech,Delhi,Series C,2023,1,451670858,Tier-1,Medium
AgriTech,Delhi,Seed,2016,5,2019500,Tier-1,Small
AI,Bangalore,Seed,2010,3,2837209,Tier-1,Large
Logistics,Chennai,Pre-Seed,2014,5,1931849,Tier-2,Medium
SaaS,Mumbai,Seed,2019,2,7967315,Tier-1,Large
E-commerce,Hyderabad,Series B,2012,4,121506941,Tier-2,Large
EdTech,Mumbai,Pre-Seed,2010,4,1214810,Tier-1,Small
SaaS,Delhi,Series B,2016,3,123254979,Tier-1,Large
Logistics,Noida,Series A,2019,3,11736177,Tier-2,Medium
AgriTech,Noida,Seed,2023,3,8554193,Tier-2,Small
FinTech,Noida,Seed,2016,1,3525114,Tier-2,Large
EdTech,Chennai,Pre-Seed,2018,5,756557,Tier-2,Small
AgriTech,Bangalore,Pre-Seed,2023,2,1837145,Tier-1,Small
SaaS,Pune,Seed,2016,5,8173819,Tier-2,Large
FinTech,Mumbai,Seed,2022,2,5452555,Tier-1,Large
EdTech,Bangalore,Series B,2023,4,193223134,Tier-1,Small
FinTech,Noida,Seed,2013,5,6816135,Tier-2,Large
FinTech,Delhi,Seed,2012,2,2192344,Tier-1,Large
EdTech,Hyderabad,Pre-Seed,2015,2,1638046,Tier-2,Small
EdTech,Mumbai,Series A,2015,4,35017098,Tier-1,Small
FinTech,Pune,Series A,2011,5,29961531,Tier-2,Large
AgriTech,Delhi,Seed,2016,5,3317266,Tier-1,Small
Logistics,Chennai,Series B,2010,1,89712528,Tier-2,Medium
AI,Mumbai,Series B,2018,5,53358217,Tier-1,Large
EdTech,Bangalore,Series A,2011,4,32755966,Tier-1,Small
SaaS,Noida,Series B,2012,2,55761372,Tier-2,Large
HealthTech,Mumbai,Series A,2015,4,30372396,Tier-1,Medium
E-commerce,Delhi,Series B,2020,4,167931291,Tier-1,Large
FinTech,Delhi,Seed,2016,4,5686417,Tier-1,Large
FinTech,Noida,Pre-Seed,2023,5,1988291,Tier-2,Large
E-commerce,Bangalore,Series C,2010,3,281936977,Tier-1,Large
AI,Pune,Pre-Seed,2012,4,1223837,Tier-2,Large
E-commerce,Delhi,Seed,2015,2,8978383,Tier-1,Large
EdTech,Mumbai,Pre-Seed,2013,1,1366306,Tier-1,Small
E-commerce,Noida,Seed,2014,5,6349317,Tier-2,Large
FinTech,Pune,Seed,2022,3,2318816,Tier-2,Large
E-commerce,Bangalore,Series A,2021,3,27293627,Tier-1,Large
HealthTech,Delhi,Series C,2012,4,295140047,Tier-1,Medium
SaaS,Noida,Pre-Seed,2023,2,742475,Tier-2,Large
EdTech,Delhi,Series A,2017,1,28086081,Tier-1,Small
E-commerce,Mumbai,Pre-Seed,2010,3,1171684,Tier-1,Large
FinTech,Delhi,Pre-Seed,2020,5,1461371,Tier-1,Large
AgriTech,Noida,Series A,2019,2,31761331,Tier-2,Small
SaaS,Mumbai,Series B,2016,5,115270011,Tier-1,Large
EdTech,Chennai,Pre-Seed,2011,4,706464,Tier-2,Small
FinTech,Noida,Seed,2017,1,9773179,Tier-2,Large
AI,Pune,Pre-Seed,2012,5,1879460,Tier-2,Large
HealthTech,Mumbai,Series B,2013,1,73979383,Tier-1,Medium
Logistics,Hyderabad,Seed,2011,5,2631516,Tier-2,Medium
AI,Delhi,Seed,2023,3,9292225,Tier-1,Large
Logistics,Chennai,Series B,2014,3,180142542,Tier-2,Medium
HealthTech,Pune,Series A,2018,4,30860346,Tier-2,Medium
E-commerce,Bangalore,Series B,2013,2,148805401,Tier-1,Large
EdTech,Hyderabad,Series B,2016,1,84716200,Tier-2,Small
E-commerce,Bangalore,Seed,2017,2,4777576,Tier-1,Large
HealthTech,Noida,Series A,2019,2,25539274,Tier-2,Medium
HealthTech,Hyderabad,Pre-Seed,2010,2,1897202,Tier-2,Medium
HealthTech,Chennai,Series C,2015,2,385821107,Tier-2,Medium
Logistics,Pune,Seed,2014,2,4582057,Tier-2,Medium
SaaS,Chennai,Series A,2019,5,24798544,Tier-2,Large
FinTech,Chennai,Seed,2019,2,3901265,Tier-2,Large
EdTech,Hyderabad,Seed,2010,1,3136571,Tier-2,Small
E-commerce,Mumbai,Pre-Seed,2018,3,1855259,Tier-1,Large
E-commerce,Pune,Series A,2020,2,42706943,Tier-2,Large
AI,Bangalore,Pre-Seed,2019,4,592504,Tier-1,Large
Logistics,Mumbai,Pre-Seed,2016,1,880798,Tier-1,Medium
HealthTech,Mumbai,Pre-Seed,2022,5,1638062,Tier-1,Medium
AgriTech,Delhi,Seed,2010,3,8164462,Tier-1,Small
HealthTech,Noida,Seed,2021,3,2589285,Tier-2,Medium
HealthTech,Bangalore,Seed,2011,3,6181934,Tier-1,Medium
AgriTech,Hyderabad,Pre-Seed,2013,4,1240204,Tier-2,Small
E-commerce,Noida,Seed,2019,2,3674400,Tier-2,Large
AI,Delhi,Series A,2018,5,40752174,Tier-1,Large
FinTech,Delhi,Series A,2020,5,11887685,Tier-1,Large
AgriTech,Noida,Series C,2011,5,503857837,Tier-2,Small
Logistics,Chennai,Pre-Seed,2023,2,571791,Tier-2,Medium
SaaS,Hyderabad,Series B,2010,5,168675530,Tier-2,Large
EdTech,Mumbai,Seed,2010,5,9295862,Tier-1,Small
Logistics,Pune,Seed,2018,3,4043545,Tier-2,Medium
AgriTech,Mumbai,Seed,2021,2,5016732,Tier-1,Small
FinTech,Mumbai,Seed,2010,1,6097281,Tier-1,Large
E-commerce,Chennai,Seed,2013,1,5480087,Tier-2,Large
SaaS,Mumbai,Series A,2014,1,26766840,Tier-1,Large
SaaS,Bangalore,Pre-Seed,2023,4,1702925,Tier-1,Large
SaaS,Mumbai,Series A,2015,3,31600085,Tier-1,Large
HealthTech,Mumbai,Series A,2015,5,34727968,Tier-1,Medium
EdTech,Bangalore,Seed,2012,3,9731359,Tier-1,Small
E-commerce,Chennai,Pre-Seed,2016,2,1757888,Tier-2,Large
E-commerce,Delhi,Pre-Seed,2023,2,1131463,Tier-1,Large
SaaS,Hyderabad,Pre-Seed,2017,3,1178077,Tier-2,Large
E-commerce,Chennai,Pre-Seed,2010,2,901165,Tier-2,Large
EdTech,Mumbai,Pre-Seed,2022,3,1474252,Tier-1,Small
EdTech,Delhi,Pre-Seed,2018,3,505401,Tier-1,Small
AI,Hyderabad,Seed,2022,3,8199962,Tier-2,Large
AgriTech,Hyderabad,Seed,2015,1,3711113,Tier-2,Small
AgriTech,Hyderabad,Series C,2010,5,225922404,Tier-2,Small
AI,Bangalore,Series C,2020,2,583700419,Tier-1,Large
FinTech,Bangalore,Pre-Seed,2018,5,742144,Tier-1,Large
AgriTech,Delhi,Pre-Seed,2013,5,1243677,Tier-1,Small
EdTech,Mumbai,Seed,2018,3,5587983,Tier-1,Small
EdTech,Noida,Pre-Seed,2019,5,687927,Tier-2,Small
AgriTech,Delhi,Seed,2021,3,2475758,Tier-1,Small
EdTech,Mumbai,Seed,2014,2,5340308,Tier-1,Small
AI,Chennai,Seed,2015,4,5628636,Tier-2,Large
SaaS,Noida,Series B,2023,5,88516017,Tier-2,Large
SaaS,Hyderabad,Series B,2018,5,117390286,Tier-2,Large
E-commerce,Hyderabad,Series C,2023,5,237238717,Tier-2,Large
Logistics,Bangalore,Pre-Seed,2023,3,1564703,Tier-1,Medium
Logistics,Noida,Series B,2015,1,123991347,Tier-2,Medium
SaaS,Chennai,Seed,2010,3,4768775,Tier-2,Large
HealthTech,Pune,Series A,2010,3,25321717,Tier-2,Medium
AI,Chennai,Series B,2011,3,103803435,Tier-2,Large
EdTech,Mumbai,Series B,2020,2,188368197,Tier-1,Small
AgriTech,Chennai,Series A,2020,2,11314913,Tier-2,Small
SaaS,Noida,Seed,2021,4,4681410,Tier-2,Large
AI,Noida,Seed,2021,5,8719761,Tier-2,Large
SaaS,Bangalore,Series A,2011,4,42431186,Tier-1,Large
FinTech,Mumbai,Series B,2015,1,98184776,Tier-1,Large
EdTech,Delhi,Series A,2019,2,32040716,Tier-1,Small
FinTech,Mumbai,Seed,2019,3,8913063,Tier-1,Large
EdTech,Delhi,Seed,2014,2,4319428,Tier-1,Small
AI,Pune,Pre-Seed,2023,2,1805134,Tier-2,Large
E-commerce,Mumbai,Series B,2023,1,60841252,Tier-1,Large
SaaS,Hyderabad,Pre-Seed,2016,1,725837,Tier-2,Large
SaaS,Pune,Series A,2017,5,12110507,Tier-2,Large
HealthTech,Delhi,Series B,2019,2,57376187,Tier-1,Medium
AgriTech,Bangalore,Seed,2019,1,3157737,Tier-1,Small
FinTech,Pune,Series B,2019,4,96500717,Tier-2,Large
SaaS,Pune,Series B,2019,2,143395017,Tier-2,Large
AI,Pune,Pre-Seed,2023,3,985746,Tier-2,Large
E-commerce,Delhi,Seed,2012,5,2908466,Tier-1,Large
AgriTech,Delhi,Series A,2018,2,25276903,Tier-1,Small
AI,Mumbai,Seed,2010,5,6805713,Tier-1,Large
FinTech,Hyderabad,Seed,2012,5,5183834,Tier-2,Large
HealthTech,Pune,Series A,2011,1,47797465,Tier-2,Medium
SaaS,Mumbai,Pre-Seed,2015,1,1743934,Tier-1,Large
AI,Mumbai,Seed,2022,2,2229452,Tier-1,Large
AgriTech,Hyderabad,Pre-Seed,2022,5,1831643,Tier-2,Small
EdTech,Mumbai,Pre-Seed,2021,4,638959,Tier-1,Small
E-commerce,Hyderabad,Seed,2010,1,3251121,Tier-2,Large
AgriTech,Bangalore,Series A,2017,1,29334549,Tier-1,Small
AI,Hyderabad,Pre-Seed,2021,1,677871,Tier-2,Large
E-commerce,Chennai,Series A,2019,1,17870271,Tier-2,Large
SaaS,Hyderabad,Seed,2021,5,5407532,Tier-2,Large
EdTech,Hyderabad,Series B,2019,4,62566893,Tier-2,Small
HealthTech,Noida,Seed,2021,1,7046636,Tier-2,Medium
AgriTech,Chennai,Pre-Seed,2012,4,1274821,Tier-2,Small
HealthTech,Hyderabad,Series A,2015,5,31731485,Tier-2,Medium
EdTech,Delhi,Series A,2011,3,40998900,Tier-1,Small
E-commerce,Noida,Seed,2014,3,4187049,Tier-2,Large
SaaS,Mumbai,Seed,2011,3,7792780,Tier-1,Large
AI,Mumbai,Pre-Seed,2016,2,1721836,Tier-1,Large
EdTech,Bangalore,Seed,2014,4,7433539,Tier-1,Small
FinTech,Bangalore,Pre-Seed,2017,5,1342233,Tier-1,Large
E-commerce,Chennai,Seed,2015,2,9450281,Tier-2,Large
HealthTech,Delhi,Series B,2022,3,163963781,Tier-1,Medium
AgriTech,Bangalore,Series A,2017,3,49958372,Tier-1,Small
EdTech,Mumbai,Pre-Seed,2021,3,520942,Tier-1,Small
HealthTech,Bangalore,Series B,2018,5,63685300,Tier-1,Medium
E-commerce,Bangalore,Seed,2016,3,2195065,Tier-1,Large
HealthTech,Hyderabad,Pre-Seed,2010,4,1030369,Tier-2,Medium
EdTech,Bangalore,Series A,2018,3,24350279,Tier-1,Small
E-commerce,Chennai,Seed,2022,2,7366003,Tier-2,Large
FinTech,Mumbai,Seed,2018,3,5943110,Tier-1,Large
EdTech,Chennai,Pre-Seed,2019,2,1608800,Tier-2,Small
AI,Noida,Seed,2011,1,6738149,Tier-2,Large
Logistics,Chennai,Pre-Seed,2023,5,963879,Tier-2,Medium
SaaS,Pune,Series A,2011,4,15076916,Tier-2,Large
EdTech,Delhi,Seed,2016,3,2446275,Tier-1,Small
E-commerce,Noida,Seed,2023,3,6602909,Tier-2,Large
AgriTech,Noida,Pre-Seed,2014,3,1292952,Tier-2,Small
SaaS,Pune,Series B,2014,3,153032786,Tier-2,Large
EdTech,Pune,Seed,2010,2,4018748,Tier-2,Small
FinTech,Hyderabad,Seed,2015,5,2470564,Tier-2,Large
AgriTech,Chennai,Series A,2017,2,33090771,Tier-2,Small
FinTech,Delhi,Pre-Seed,2013,3,1242444,Tier-1,Large
AI,Mumbai,Seed,2022,2,2926315,Tier-1,Large
AgriTech,Mumbai,Series A,2012,3,28714380,Tier-1,Small
HealthTech,Delhi,Seed,2019,1,6573215,Tier-1,Medium
Logistics,Noida,Pre-Seed,2019,2,710805,Tier-2,Medium
AgriTech,Chennai,Seed,2010,5,6742589,Tier-2,Small
SaaS,Chennai,Seed,2013,1,5610226,Tier-2,Large
AgriTech,Hyderabad,Series C,2011,4,339517953,Tier-2,Small
E-commerce,Hyderabad,Seed,2014,2,3825612,Tier-2,Large
Logistics,Pune,Pre-Seed,2021,2,1913901,Tier-2,Medium
E-commerce,Mumbai,Series B,2019,4,168350112,Tier-1,Large
HealthTech,Hyderabad,Seed,2010,5,3714211,Tier-2,Medium
AgriTech,Delhi,Seed,2018,1,7115604,Tier-1,Small
FinTech,Mumbai,Seed,2018,4,4712773,Tier-1,Large
FinTech,Noida,Series A,2014,5,13536068,Tier-2,Large
EdTech,Noida,Series A,2010,1,45863727,Tier-2,Small
AI,Chennai,Pre-Seed,2012,5,1401405,Tier-2,Large
SaaS,Mumbai,Series B,2016,5,103454248,Tier-1,Large
Logistics,Bangalore,Pre-Seed,2014,3,1756267,Tier-1,Medium
AI,Mumbai,Seed,2020,2,4976825,Tier-1,Large
AgriTech,Hyderabad,Pre-Seed,2018,1,1530184,Tier-2,Small
AI,Delhi,Series A,2013,3,44216458,Tier-1,Large
EdTech,Chennai,Series A,2014,1,46561043,Tier-2,Small
AI,Chennai,Series A,2012,3,47643866,Tier-2,Large
Logistics,Hyderabad,Series A,2017,1,29398044,Tier-2,Medium
HealthTech,Hyderabad,Pre-Seed,2022,2,703519,Tier-2,Medium
EdTech,Hyderabad,Seed,2012,5,9826663,Tier-2,Small
HealthTech,Bangalore,Seed,2015,2,7823151,Tier-1,Medium
AgriTech,Delhi,Seed,2016,1,3642822,Tier-1,Small
EdTech,Bangalore,Pre-Seed,2022,2,1998452,Tier-1,Small
AgriTech,Hyderabad,Series B,2011,1,166315662,Tier-2,Small
AgriTech,Delhi,Series A,2016,4,41329393,Tier-1,Small
AI,Noida,Seed,2012,4,3673674,Tier-2,Large
HealthTech,Noida,Series A,2012,1,45688190,Tier-2,Medium
AgriTech,Hyderabad,Series A,2014,4,45313972,Tier-2,Small
HealthTech,Delhi,Pre-Seed,2013,5,586198,Tier-1,Medium
HealthTech,Chennai,Seed,2019,1,2242629,Tier-2,Medium
EdTech,Bangalore,Seed,2016,3,4842508,Tier-1,Small
E-commerce,Pune,Pre-Seed,2012,4,1438155,Tier-2,Large
AI,Hyderabad,Seed,2018,5,7188281,Tier-2,Large
AgriTech,Hyderabad,Series B,2010,1,101715752,Tier-2,Small
HealthTech,Mumbai,Seed,2023,3,2004120,Tier-1,Medium
SaaS,Pune,Series B,2022,5,176049604,Tier-2,Large
E-commerce,Chennai,Pre-Seed,2021,4,1684397,Tier-2,Large
AgriTech,Hyderabad,Pre-Seed,2011,1,1351316,Tier-2,Small
SaaS,Bangalore,Series B,2020,4,63988124,Tier-1,Large
AI,Chennai,Seed,2018,3,5831987,Tier-2,Large
AI,Hyderabad,Series B,2020,1,140208267,Tier-2,Large
HealthTech,Bangalore,Pre-Seed,2017,5,541690,Tier-1,Medium
HealthTech,Mumbai,Series B,2016,4,136536414,Tier-1,Medium
Logistics,Mumbai,Seed,2018,2,9914094,Tier-1,Medium
Logistics,Noida,Pre-Seed,2014,5,1692412,Tier-2,Medium
AgriTech,Bangalore,Series A,2022,4,10277978,Tier-1,Small
EdTech,Chennai,Series A,2012,2,15853636,Tier-2,Small
E-commerce,Bangalore,Pre-Seed,2022,3,736569,Tier-1,Large
AgriTech,Pune,Series C,2011,1,383715354,Tier-2,Small
E-commerce,Bangalore,Series A,2015,3,15430798,Tier-1,Large
HealthTech,Mumbai,Seed,2022,3,8073806,Tier-1,Medium
AI,Mumbai,Pre-Seed,2011,1,1488641,Tier-1,Large
HealthTech,Mumbai,Seed,2017,5,8157069,Tier-1,Medium
AI,Pune,Pre-Seed,2014,4,1366049,Tier-2,Large
Logistics,Hyderabad,Seed,2020,3,5486509,Tier-2,Medium
AgriTech,Noida,Series A,2011,5,44963822,Tier-2,Small
Logistics,Pune,Series A,2015,2,24356815,Tier-2,Medium
AI,Hyderabad,Seed,2015,3,6327496,Tier-2,Large
HealthTech,Pune,Pre-Seed,2023,5,1359250,Tier-2,Medium
Logistics,Delhi,Series C,2017,5,519441743,Tier-1,Medium
FinTech,Hyderabad,Seed,2021,4,7511595,Tier-2,Large
E-commerce,Chennai,Seed,2015,3,6422357,Tier-2,Large
SaaS,Chennai,Series A,2012,1,44013714,Tier-2,Large
AI,Noida,Series A,2017,4,38706887,Tier-2,Large
AI,Mumbai,Series C,2011,1,772943403,Tier-1,Large
FinTech,Pune,Series C,2018,1,329223980,Tier-2,Large
AgriTech,Bangalore,Series B,2015,5,117584724,Tier-1,Small
AgriTech,Mumbai,Seed,2010,1,9490114,Tier-1,Small
AgriTech,Noida,Pre-Seed,2013,1,600046,Tier-2,Small
SaaS,Bangalore,Series A,2010,4,13810881,Tier-1,Large
